filename,tile_id,mse
tile_47920_mse_0.007239.png,47920,0.007239
tile_10320_mse_0.007221.png,10320,0.007221
tile_27710_mse_0.007212.png,27710,0.007212
tile_27709_mse_0.007187.png,27709,0.007187
tile_28807_mse_0.007180.png,28807,0.00718
tile_26285_mse_0.007154.png,26285,0.007154
tile_37151_mse_0.007137.png,37151,0.007137
tile_28401_mse_0.007124.png,28401,0.007124
tile_37137_mse_0.007110.png,37137,0.00711
tile_62871_mse_0.007096.png,62871,0.007096
tile_33371_mse_0.007060.png,33371,0.00706
tile_01731_mse_0.007042.png,1731,0.007042
tile_65994_mse_0.007036.png,65994,0.007036
tile_48637_mse_0.007032.png,48637,0.007032
tile_22200_mse_0.007018.png,22200,0.007018
tile_58584_mse_0.006991.png,58584,0.006991
tile_09605_mse_0.006982.png,9605,0.006982
tile_03405_mse_0.006978.png,3405,0.006978
tile_26298_mse_0.006912.png,26298,0.006912
tile_55345_mse_0.006901.png,55345,0.006901
tile_39217_mse_0.006882.png,39217,0.006882
tile_46641_mse_0.006801.png,46641,0.006801
tile_25052_mse_0.006728.png,25052,0.006728
tile_61918_mse_0.006721.png,61918,0.006721
tile_42114_mse_0.006686.png,42114,0.006686
tile_48657_mse_0.006613.png,48657,0.006613
tile_29310_mse_0.006583.png,29310,0.006583
tile_02766_mse_0.006523.png,2766,0.006523
tile_63602_mse_0.006516.png,63602,0.006516
tile_26313_mse_0.006514.png,26313,0.006514
tile_37150_mse_0.006504.png,37150,0.006504
tile_37479_mse_0.006481.png,37479,0.006481
tile_43963_mse_0.006464.png,43963,0.006464
tile_32594_mse_0.006440.png,32594,0.00644
tile_66779_mse_0.006433.png,66779,0.006433
tile_13238_mse_0.006403.png,13238,0.006403
tile_41924_mse_0.006401.png,41924,0.006401
tile_09276_mse_0.006395.png,9276,0.006395
tile_40152_mse_0.006390.png,40152,0.00639
tile_03102_mse_0.006357.png,3102,0.006357
tile_64867_mse_0.006349.png,64867,0.006349
tile_06192_mse_0.006331.png,6192,0.006331
tile_09604_mse_0.006237.png,9604,0.006237
tile_38243_mse_0.006228.png,38243,0.006228
tile_53469_mse_0.006208.png,53469,0.006208
tile_01076_mse_0.006203.png,1076,0.006203
tile_57302_mse_0.006173.png,57302,0.006173
tile_23072_mse_0.006151.png,23072,0.006151
tile_42948_mse_0.006141.png,42948,0.006141
tile_43604_mse_0.006077.png,43604,0.006077
tile_43747_mse_0.006024.png,43747,0.006024
tile_47054_mse_0.005995.png,47054,0.005995
tile_52754_mse_0.005994.png,52754,0.005994
tile_17615_mse_0.005985.png,17615,0.005985
tile_57418_mse_0.005938.png,57418,0.005938
tile_42091_mse_0.005934.png,42091,0.005934
tile_24907_mse_0.005904.png,24907,0.005904
tile_15992_mse_0.005891.png,15992,0.005891
tile_52301_mse_0.005866.png,52301,0.005866
tile_05397_mse_0.005853.png,5397,0.005853
tile_25030_mse_0.005826.png,25030,0.005826
tile_65963_mse_0.005789.png,65963,0.005789
tile_57213_mse_0.005763.png,57213,0.005763
tile_51126_mse_0.005754.png,51126,0.005754
tile_55792_mse_0.005734.png,55792,0.005734
tile_00247_mse_0.005706.png,247,0.005706
tile_24132_mse_0.005703.png,24132,0.005703
tile_11234_mse_0.005678.png,11234,0.005678
tile_01530_mse_0.005670.png,1530,0.00567
tile_26329_mse_0.005664.png,26329,0.005664
tile_35686_mse_0.005654.png,35686,0.005654
tile_56559_mse_0.005614.png,56559,0.005614
tile_46627_mse_0.005613.png,46627,0.005613
tile_46628_mse_0.005594.png,46628,0.005594
tile_15422_mse_0.005589.png,15422,0.005589
tile_46686_mse_0.005579.png,46686,0.005579
tile_04250_mse_0.005571.png,4250,0.005571
tile_40726_mse_0.005568.png,40726,0.005568
tile_12993_mse_0.005568.png,12993,0.005568
tile_13009_mse_0.005567.png,13009,0.005567
tile_40406_mse_0.005529.png,40406,0.005529
tile_26234_mse_0.005529.png,26234,0.005529
tile_48293_mse_0.005521.png,48293,0.005521
tile_22035_mse_0.005517.png,22035,0.005517
tile_00932_mse_0.005504.png,932,0.005504
tile_09239_mse_0.005503.png,9239,0.005503
tile_13954_mse_0.005502.png,13954,0.005502
tile_13454_mse_0.005480.png,13454,0.00548
tile_38873_mse_0.005460.png,38873,0.00546
tile_57393_mse_0.005436.png,57393,0.005436
tile_60744_mse_0.005425.png,60744,0.005425
tile_00149_mse_0.005424.png,149,0.005424
tile_10192_mse_0.005415.png,10192,0.005415
tile_43854_mse_0.005412.png,43854,0.005412
tile_53009_mse_0.005406.png,53009,0.005406
tile_62744_mse_0.005404.png,62744,0.005404
tile_51313_mse_0.005368.png,51313,0.005368
tile_38628_mse_0.005316.png,38628,0.005316
tile_42029_mse_0.005312.png,42029,0.005312
tile_43157_mse_0.005305.png,43157,0.005305
tile_28386_mse_0.005289.png,28386,0.005289
tile_00382_mse_0.005277.png,382,0.005277
tile_46689_mse_0.005272.png,46689,0.005272
tile_30285_mse_0.005252.png,30285,0.005252
tile_15895_mse_0.005222.png,15895,0.005222
tile_05535_mse_0.005201.png,5535,0.005201
tile_36186_mse_0.005197.png,36186,0.005197
tile_40596_mse_0.005181.png,40596,0.005181
tile_32545_mse_0.005147.png,32545,0.005147
tile_41612_mse_0.005116.png,41612,0.005116
tile_49913_mse_0.005086.png,49913,0.005086
tile_13861_mse_0.005084.png,13861,0.005084
tile_64357_mse_0.005075.png,64357,0.005075
tile_58413_mse_0.005065.png,58413,0.005065
tile_06936_mse_0.005057.png,6936,0.005057
tile_26283_mse_0.005057.png,26283,0.005057
tile_35534_mse_0.005036.png,35534,0.005036
tile_15199_mse_0.005015.png,15199,0.005015
tile_11503_mse_0.004988.png,11503,0.004988
tile_41011_mse_0.004973.png,41011,0.004973
tile_41501_mse_0.004956.png,41501,0.004956
tile_39976_mse_0.004951.png,39976,0.004951
tile_68488_mse_0.004936.png,68488,0.004936
